c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_slot;c_market_name;c_name_color;c_pop
186150629;143865972;14800;66;1613;"базового класса";;21;Обыч.;"Ключ от кейса CS:GO";D2D2D2;1253
186150630;143865972;14900;35;260;"базового класса";;21;Обыч.;"Ключ eSports";D2D2D2;1300
191923205;143865972;13990;3;510;"базового класса";;3279;Обыч.;"Именной ярлык";D2D2D2;1134
259019412;143865972;15800;18;338;"базового класса";;21;Обыч.;"Ключ от кейса Winter Offensive";D2D2D2;1149
259019413;143865972;7299;259;879;"базового класса";;3111;Обыч.;"Коробка с подарком";D2D2D2;1059
259019414;143865972;190000;2;4;"базового класса";;3111;Обыч.;"Посылка для аудитории";D2D2D2;567
259019415;143865972;120503;2;2;"базового класса";;3111;Обыч.;"Груда подарков";D2D2D2;618
310776497;188530139;116500;5;94;Засекреченное;"Немного поношенное";47;Обыч.;"AWP | БАХ (Немного поношенное)";D2D2D2;1222
310776501;0;33999;2;24;Запрещенное;"Прямо с завода";47;Обыч.;"SCAR-20 | Изумруд (Прямо с завода)";D2D2D2;1000
310776502;0;223;3;105;Ширпотреб;"Немного поношенное";19;Обыч.;"Dual Berettas | Наемник (Немного поношенное)";D2D2D2;399
310776509;0;153;12;121;Ширпотреб;"Немного поношенное";47;Обыч.;"SCAR-20 | Песчаная сетка (Немного поношенное)";D2D2D2;510
310776512;0;474;11;285;"Промышленное качество";"Прямо с завода";3;Обыч.;"MAC-10 | Карамельное яблоко (Прямо с завода)";D2D2D2;941
310776521;188530139;24566;3;275;Запрещенное;"После полевых испытаний";19;Обыч.;"USP-S | Камуфляж (После полевых испытаний)";D2D2D2;936
310776522;188530139;2228;3;179;"Армейское качество";"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Синие полутона (После полевых испыта";D2D2D2;406
310776527;188530139;11998;2;232;"Армейское качество";"Немного поношенное";17;Обыч.;"M4A1-S | Кровавый тигр (Немного поношенное)";D2D2D2;660
310776528;188530139;36500;1;51;Запрещенное;"Немного поношенное";19;Обыч.;"USP-S | Камуфляж (Немного поношенное)";D2D2D2;1207
310776531;188530139;13002;9;138;Запрещенное;"Прямо с завода";17;Обыч.;"AK-47 | Синий ламинат (Прямо с завода)";D2D2D2;1167
310776535;0;2500;5;4;Ширпотреб;"После полевых испытаний";75;Обыч.;"M249 | Пиксельный камуфляж «Джунгли» (После полевы";D2D2D2;406
310776543;0;141;22;117;Ширпотреб;"После полевых испытаний";17;Обыч.;"Galil AR | Белое напыление (После полевых испытани";D2D2D2;546
310776543;302028390;100;28;1080;Ширпотреб;"После полевых испытаний";17;Обыч.;"Galil AR | Белое напыление (После полевых испытаний)";D2D2D2;770
310776545;0;500;4;12;Ширпотреб;"После полевых испытаний";3;Обыч.;"P90 | Ожоги (После полевых испытаний)";D2D2D2;908
310776546;188530139;5999;1;96;"Армейское качество";"Немного поношенное";19;Обыч.;"Five-SeveN | Ками (Немного поношенное)";D2D2D2;394
310776554;0;4900;1;3;Ширпотреб;"Прямо с завода";3;Обыч.;"ПП-19 Бизон | Городская штриховка (Прямо с завода)";D2D2D2;125
310776557;0;1861;1;72;Ширпотреб;Поношенное;19;Обыч.;"Dual Berettas | Колония (Поношенное)";D2D2D2;38
310776558;0;117;9;81;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (После полевых ис";D2D2D2;350
310776558;302028390;100;22;795;Ширпотреб;"После полевых испытаний";3;Обыч.;"ПП-19 Бизон | Песчаная штриховка (После полевых испытаний)";D2D2D2;720
310776560;0;167;31;1148;Ширпотреб;"После полевых испытаний";49;Обыч.;"Nova | Полярная сетка (После полевых испытаний)";D2D2D2;479
310776563;188530139;7688;7;143;Запрещенное;"Прямо с завода";3;Обыч.;"MP9 | Гипнотический (Прямо с завода)";D2D2D2;828
